Neighboorhood,0_9_Score,10_17_Score,18_24_Score,25_34_Score,35_44_Score,45_54_Score,55_64_Score,65+_Score,Equal_Diveristy_Score,US_Diveristy_Score,Austin_Diveristy_Score,Area_Density_Score,Area_Non_Density_Score,Walk_Score,Transit_Score,Bike_Score,Amenities_Score,Cost_of_Living_Score,Crime_Score,Employment_Score,Housing_Score,School_Score
ALLANDALE,71.09,69.08,63.58,61.78,87.54,79.70,89.11,98.35,60.64,84.32,76.74, 71 , 79 ,53,42,74,95,52.5,69,72,52.5,95
WEST GATE,77.03,77.82,68.38,62.60,69.84,71.86,73.27,99.84,73.41,85.23,91.92, 79 , 71 ,56,48,60,95,48,48,60,48,81
CHESTNUT,63.39,65.81,77.35,89.40,87.54,68.35,68.77,75.58,84.09,83.85,87.64, 89 , 61 ,78,52,88,95,48,52.5,63,48,66
SOUTH RIVER CITY,61.99,59.51,72.95,93.22,84.57,73.34,80.13,68.75,65.78,89.44,83.14, 86 , 64 ,68,51,73,95,48,53,69,48,95
GARRISON PARK,72.13,73.86,70.77,80.42,74.34,74.62,77.87,83.20,75.37,83.91,92.05, 85 , 65 ,50,37,65,95,60,60,60,60,81
WINDSOR PARK,87.06,77.38,71.85,73.43,75.85,73.34,70.24,76.96,78.67,74.09,82.76, 89 , 61 ,55,42,67,95,60,48,53,57,69
EAST CONGRESS,66.12,71.66,75.43,83.84,70.33,73.13,78.25,77.88,73.99,77.67,86.62, 66 , 84 ,35,41,47,95,66,48,57,57,57
CENTRAL EAST AUSTIN,74.57,72.97,80.33,81.17,67.91,70.19,67.32,75.12,82.95,77.30,84.09, 81 , 69 ,84,54,84,95,48,48,57,57,81
WOOTEN,88.17,73.41,69.96,77.09,81.79,72.49,67.68,79.25,74.95,77.02,86.05, 85 , 65 ,65,50,74,95,53,48,57,48,69
GALINDO,66.44,70.79,70.63,88.62,83.20,74.62,74.04,74.19,74.59,85.53,92.70, 83 , 67 ,51,46,58,95,48,53,66,60,78
SOUTH MANCHACA,65.81,71.23,68.64,71.88,80.35,78.24,87.03,89.66,73.04,85.88,91.96, 79 , 71 ,48,41,60,95,60,48,57,48,95
UNIVERSITY HILLS,75.63,83.32,69.56,68.33,66.05,75.90,82.32,91.82,83.88,75.38,79.28, 76 , 74 ,38,40,37,95,57,48,60,66,81
PECAN SPRINGS SPRINGDALE,84.99,82.91,69.17,64.78,69.84,72.70,78.63,92.91,80.28,67.38,71.09, 70 , 80 ,32,40,43,95,60,48,57,48,72
MCKINNEY,92.87,92.91,70.63,71.10,80.83,73.98,64.25,59.23,67.48,58.90,68.13, 62 , 88 ,34,31,34,95,69,48,53,69,63
JOHNSTON TERRACE,92.67,87.84,69.03,69.33,77.37,71.44,68.40,77.42,70.17,60.66,69.62, 62 , 88 ,25,38,63,95,63,48,53,60,48
ROSEWOOD,88.97,82.51,71.44,71.62,65.16,69.77,68.04,91.53,82.91,72.50,77.54, 79 , 71 ,68,49,85,95,57,48,52.5,75,60
CORONADO HILLS,97.14,68.66,73.50,77.09,66.97,66.95,67.68,75.12,69.97,60.96,69.97, 89 , 61 ,48,43,48,81,66,48,53,72,57
MONTOPOLIS,96.72,90.73,72.54,68.33,67.91,68.55,64.91,70.08,63.36,54.09,63.38, 80 , 70 ,43,44,50,95,75,48,48,60,69
FRANKLIN PARK,96.93,96.76,73.36,65.23,69.84,69.36,63.60,59.86,61.19,51.99,61.34, 94 , 56 ,39,38,44,95,72,48,48,52.5,63
GOVALLE,72.82,81.26,68.51,64.78,70.33,74.62,80.13,98.17,64.61,57.36,66.72, 66 , 84 ,64,46,88,95,53,48,57,60,63
